,book_idx,excerpt_idx,segment_idx,segment_1,segment_2,seg1_pos,seg2_pos,distance_bin,present_seg1_first
0,69087,0,0,"*In his desk?” “No, he always kept his cash in his bedroom. In an old collar-box, to be accurate. Funny*",*Poirot asked a question. “You saw Mr. Ackroyd put this money away last night when he was dressing for dinner?*,8015,8356,1000,1
1,69087,1,0,"*“You will lunch with us, M. Poirot?” asked Flora. “I should like you to meet my mother. She is—very fond*","*“Then, seeing that I am acting for Miss Ackroyd, you will not object to telling me the terms of that*",3682,4441,1000,0
2,69087,2,0,"*After some further parley, we were taken to interview the prisoner. He was a young fellow, I should say not*","*“Under certain circumstances, you comprehend.” There was so much meaning in his voice as to surprise the two police officers.*",8960,9709,1000,1
3,69087,3,0,*Oh! I forgot. The door’s locked.” Inquiry from Parker elicited the information that Inspector Raglan was in the housekeeper’s room*,"*“Not missed anything before?” “No.” “None of them leaving, or anything like that?” “The parlormaid is leaving.” “When?” “She gave*",1629,2102,1000,0
4,69087,4,0,"*“It will be a shock to you. Bound to be. Poor Roger’s dead.” Flora drew away from him, her eyes*","*You see, I’ve been instituting a few inquiries as to what Parker has been doing with himself this evening. To*",1780,2201,1000,0
5,69087,5,0,"*They’ve just found Roger Ackroyd murdered.” I got out the car in next to no time, and drove rapidly to*","*“I think that will be all right now, sir. The billiard room is at the other side of the house,*",6044,6602,1000,0
6,69087,6,0,"*Yes, it fits in. You’re quite right—no one would use quite those words in casual conversation.” “It explains, too,” said*",*That night I put the facts plainly before him. The thought of having possibly to give evidence which might incriminate*,8073,8781,1000,0
7,69087,7,0,*“Those dreadful bills. And some I didn’t like to show Roger at all. They were things a man wouldn’t understand.*,"*As I got to the bottom drawer, Bourne came in. Most awkward. Of course I shut the drawer and stood*",6398,6936,1000,1
8,69087,8,0,"*I sympathized, and narrated my own similar trouble. Then the gong pealed out, and we all went in to lunch.*","*A lack of trust, I call it.” “You forget, Mrs. Ackroyd,” I said, “Flora was Ackroyd’s own niece, a blood*",2329,2505,1000,0
9,69087,9,0,"*“Ah! but it is that you are a little stupid to-night, my friend. _You_ know that it is so—but how*","*I found two, the scrap of cambric and the quill.” “And the scrap of cambric?” I asked curiously. “What about*",8511,8921,1000,0
10,69087,10,0,"*You have a bank-book, I presume?” “Yes, sir, as a matter of fact, I have it with me now.” With*","*And I have had quite a little flutter on some horses this year—very successful. If you remember, sir, a rank*",9141,9213,1000,1
11,69087,11,0,"*I lingered, thinking that perhaps the girl would say more. Her next question surprised me. “When do they think the*","*A great pity, because M. Poirot came in practically the minute after he left.” “Came in here?” “No, to his*",5924,6524,1000,1
12,69087,12,0,*He had spoken as though Ralph had not been near the place for months. I had no time to puzzle*,*That is the kind of thing you mean?” “Yes. Is there really such a thing?” I shook my head regretfully.*,1643,2410,1000,0
13,69087,13,0,"*Raglan seems very sure of himself, but I’m not quite certain that I agree with him. You see, I—er—know the*","*Would work in with us unobtrusively, eh?” “To the greater glory of Inspector Raglan,” I said solemnly. “Well, well,” said*",4974,5009,1000,0
14,69087,14,0,"*“All the same,” he remarked, “this discovery of yours, brilliant though it is (I’m quite sure I should never have*","*I make inquiries. Yes, at one of them a patient was brought there by the doctor himself early on Saturday*",5046,5917,1000,0
15,69087,15,0,"*Miss Ganett listened imperturbably and collected her counters. “Yes, dear, I know what you mean,” she said. “But it rather*","*“If you would only play a leetle quicker, dear,” said Caroline, as Miss Ganett hesitated over her discard. “The Chinese*",2024,2138,1000,0
16,69087,16,0,"*“That’s out of the question,” I said. “Miss Ackroyd saw her uncle alive at a quarter to ten.” She turned*","*“Came in here?” “No, to his own house.” “How do you know?” “The side window,” said Caroline briefly. It seemed*",5561,6110,1000,1
17,69087,17,0,"*She was so clearly eager for a reply in the affirmative. “That’s out of the question,” I said. “Miss Ackroyd*","*“The big chair? This small one? The room is not too hot, no?” I thought it was stifling, but refrained*",6712,7605,1000,1
18,69087,18,0,"*“You may not have noticed it at the time, my good friend, but there was one person on this list*","*Yes, Mrs. Folliott was at home. I was ushered into a big drawing-room, and looked round me curiously as I*",7894,8374,1000,1
19,69087,19,0,"*“Take a seat, will you not? What I have to say may take some time.” Parker seated himself with an*",*It was a great surprise to me. Such a regular gentleman in all his habits.” “How much did you overhear?”*,7704,8236,1000,0
20,69087,20,0,"*I was out of breath, for I had been running. I had no idea that he was expected to dinner*",*That Charles had nothing to do with this wicked murder!” “There seems no doubt that the man who was talking*,8660,9218,1000,0
21,69087,21,0,*Thank you.” He took Poirot’s hand and gave it a grip which caused the other to wince in anguish. Then*,"*“You are in error,” he said at last. “You have still one patient to see.” “Not you?” I exclaimed in*",4624,5301,1000,0
22,69087,22,0,"*A walk led down the middle, bordered each side with formal flower beds, and at the end was a round*",*Inspector’s an ass. Everybody knows—utterly absurd to think he could have done it. Man from outside. Burglar chap. That’s the*,1465,2284,1000,1
23,69087,23,0,*“Then——?” “Then it would seem that in this Charles Kent we have the man we are looking for. He came*,"*Let us proceed slowly, with due order and method. Charles Kent is not yet formally charged with murder. Circumstances may*",3840,4683,1000,0
24,69087,24,0,"*Not Charles Kent, who had already left. Who, then? I posed my cleverest—my most audacious question: _Was any one with*","*A dictaphone. That’s what you think?” Poirot nodded. “Mr. Ackroyd had promised to invest in a dictaphone, you remember. Me,*",8422,8891,1000,0
25,69087,25,0,"*“The fingerprints?” I hinted. “Nothing like Parker’s.” He gave a faint smile, and added: “And yours and Mr. Raymond’s don’t*",*To each man his own knowledge. You could tell me the details of the patient’s appearance—nothing there would escape you.*,3657,4343,1000,0
26,69087,26,0,"*Poirot watched him with approval. “Thank you, my good Parker,” he said. “Take a seat, will you not? What I*",*“I am disposed to believe you. But there is one thing I must request of you—to show me your bank-book.*,1302,2011,1000,1
27,69087,27,0,*It was a quarter past ten as we went up the stairs. I had just reached the top when the*,"*“Allow me, sir,” said Parker. Very nimbly, for a man of his build, he dropped on one knee and applied*",8393,8883,1000,1
28,69087,28,0,"*You know that as well as I do.” “After death, James,” said Caroline; “to make a false clew.” “My good*","*I began to wonder how soon I should be able to deliver Poirot’s invitation. Before I had time to speak,*",3839,4580,1000,0
29,69087,29,0,"*Hasn’t he ever mentioned him to you? Quite docile, I believe, and all that, but mad as a hatter, poor*","*“Seems quite O.K., doesn’t it?” said the inspector rather gloomily. “A chap can’t be murdering some one in one place*",7009,7182,1000,1
30,69087,30,0,"*“Where was this—er—curio usually kept? Can you tell me that, sir?” It was the secretary who answered. “In the silver*","*I felt the pressure of his hand on my arm, and followed the direction of his eyes. Inspector Davis seemed*",5748,6278,1000,0
31,69087,31,0,"*She opened the front door for me. Just as I was passing out, she said suddenly in a low voice:—*",*She evidently felt that she had scored a point over Poirot. I did not answer. I was puzzling over what*,8003,8508,1000,1
32,69087,32,0,"*It’s my opinion she wanted to see where the poisons were kept. Five Characters.” “Chow,” said Miss Ganett. “What an*","*Eight Bamboos.” “Mah Jong!” said Miss Ganett. Caroline was very much annoyed. “One Red Dragon,” she said regretfully, “and I*",555,595,1000,0
33,69087,33,0,"*Dr. Sheppard speaking.” I listened for a minute or two, then replied briefly. Replacing the receiver, I went back into*","*That’s what I’m getting at.” “This gentleman will tell you,” said Poirot. He indicated Inspector Raglan. The latter hesitated, glanced*",1698,2691,1000,0
34,69087,34,0,"*There was no answer. I turned the handle, but the door was locked. “Allow me, sir,” said Parker. Very nimbly,*","*Parker and I glanced at each other. “Look here, Parker,” I said, “I’m going to break this door in—or rather,*",4640,4869,1000,1
35,69087,35,0,"*“Of course.” “Then you shall have it. My friend, everything points to the assumption that he is guilty.” “What!” I*","*I hadn’t the least idea of it.” “Can you tell me anything about her?” I asked. “Anything about her?” “Yes,*",1840,2225,1000,1
36,69087,36,0,*He comes to the open drawing-room window. Say it’s now a quarter to ten. Miss Flora Ackroyd is saying good-night*,"*I only stared. He slipped the quill into his pocket, and looked again at the scrap of white stuff. “A*",5092,5901,1000,1
37,69087,37,0,"*“Ten pounds to ten thousand on note of hand alone,” murmured Mrs. Ackroyd reminiscently. “I wrote to one of them,*","*“You have told me everything?” “Ye-es,” said Mrs. Ackroyd. “Oh! yes,” she added firmly. But I had noted the momentary*",8100,8818,1000,1
38,69087,38,0,"*I told her a good deal about curare, but she seemed to have lost interest once more. She asked me*",*For some months now I cultivate the marrows. This morning suddenly I enrage myself with these marrows. I send them*,2468,3393,1000,0
